source,wire_len,ip_total_len,dnp3_len,tcp_payload_len
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,120,106,43,54
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
trace_SEL751,103,89,28,37
